,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
0,c1r1,control,1.0,early,compatible,1,219.54106280193238,1.0,118,1.5707963267948966
1,c1r1,control,1.0,early,compatible,2,262.81400966183577,1.0,118,1.5707963267948966
2,c1r1,control,1.0,early,compatible,3,320.3623188405796,1.0,118,1.5707963267948966
3,c1r1,control,1.0,early,compatible,4,382.1980676328504,1.0,118,1.5707963267948966
4,c1r1,control,1.0,early,compatible,5,441.61835748792265,1.0,118,1.5707963267948966
5,c1r1,control,1.0,early,compatible,6,527.053140096618,1.0,118,1.5707963267948966
6,c1r1,control,1.0,early,compatible,7,741.8599033816427,1.0,118,1.5707963267948966
0,c1r1,control,1.0,early,incompatible,1,298.9156626506024,0.8916,83,1.2352422460322088
1,c1r1,control,1.0,early,incompatible,2,451.4457831325301,0.8916,83,1.2352422460322088
2,c1r1,control,1.0,early,incompatible,3,566.0240963855422,0.6867,83,0.9767845461968555
3,c1r1,control,1.0,early,incompatible,4,666.2650602409639,0.6145,83,0.9008806071234643
4,c1r1,control,1.0,early,incompatible,5,787.5903614457832,0.4578,83,0.7431788750077809
5,c1r1,control,1.0,early,incompatible,6,1009.6385542168674,0.3735,83,0.6575025805193163
6,c1r1,control,1.0,early,incompatible,7,1649.0361445783133,0.1446,83,0.3900503675021981
0,c1r1,control,1.0,medium,compatible,1,194.04255319148936,1.0,141,1.5707963267948966
1,c1r1,control,1.0,medium,compatible,2,221.06382978723406,1.0,141,1.5707963267948966
2,c1r1,control,1.0,medium,compatible,3,252.05673758865248,1.0,141,1.5707963267948966
3,c1r1,control,1.0,medium,compatible,4,304.9645390070922,1.0,141,1.5707963267948966
4,c1r1,control,1.0,medium,compatible,5,363.82978723404256,1.0,141,1.5707963267948966
5,c1r1,control,1.0,medium,compatible,6,433.54609929078015,0.9929,141,1.4864861283841004
6,c1r1,control,1.0,medium,compatible,7,634.7517730496454,0.9787,141,1.4244124588641371
0,c1r1,control,1.0,medium,incompatible,1,213.7308533916849,0.9923,130,1.4831669221947346
1,c1r1,control,1.0,medium,incompatible,2,275.99562363238516,0.954,130,1.35475639876317
2,c1r1,control,1.0,medium,incompatible,3,340.557986870897,0.9617,130,1.3738363115234604
3,c1r1,control,1.0,medium,incompatible,4,409.38730853391695,0.9617,130,1.3738363115234604
4,c1r1,control,1.0,medium,incompatible,5,480.95185995623626,0.9387,130,1.3206693526744586
5,c1r1,control,1.0,medium,incompatible,6,581.6630196936543,0.9234,130,1.2903933667403138
6,c1r1,control,1.0,medium,incompatible,7,905.7658643326038,0.7856,130,1.0893303233281753
0,c1r1,control,1.0,late,compatible,1,190.44117647058823,1.0,145,1.5707963267948966
1,c1r1,control,1.0,late,compatible,2,217.47058823529412,1.0,145,1.5707963267948966
2,c1r1,control,1.0,late,compatible,3,248.5686274509804,1.0,145,1.5707963267948966
3,c1r1,control,1.0,late,compatible,4,298.078431372549,1.0,145,1.5707963267948966
4,c1r1,control,1.0,late,compatible,5,359.5392156862744,1.0,145,1.5707963267948966
5,c1r1,control,1.0,late,compatible,6,444.9313725490198,1.0,145,1.5707963267948966
6,c1r1,control,1.0,late,compatible,7,653.4999999999999,0.9931,145,1.4878629724112797
0,c1r1,control,1.0,late,incompatible,1,214.21052631578948,1.0,130,1.5707963267948966
1,c1r1,control,1.0,late,incompatible,2,267.16008771929825,0.9923,130,1.4830755592
2,c1r1,control,1.0,late,incompatible,3,322.46710526315786,1.0,130,1.5707963267948966
3,c1r1,control,1.0,late,incompatible,4,391.15131578947364,0.977,130,1.418464986139777
4,c1r1,control,1.0,late,incompatible,5,461.94078947368445,0.9693,130,1.394665367706081
5,c1r1,control,1.0,late,incompatible,6,558.7609649122804,0.9539,130,1.354513953836994
6,c1r1,control,1.0,late,incompatible,7,846.3486842105266,0.8849,130,1.224611241631283
0,c3r2,control,1.0,early,compatible,1,217.986798679868,1.0,129,1.5707963267948966
1,c3r2,control,1.0,early,compatible,2,246.93069306930693,1.0,129,1.5707963267948966
2,c3r2,control,1.0,early,compatible,3,285.9625962596259,1.0,129,1.5707963267948966
3,c3r2,control,1.0,early,compatible,4,351.66116611661175,1.0,129,1.5707963267948966
4,c3r2,control,1.0,early,compatible,5,416.6776677667768,1.0,129,1.5707963267948966
5,c3r2,control,1.0,early,compatible,6,514.5654565456542,1.0,129,1.5707963267948966
6,c3r2,control,1.0,early,compatible,7,697.0627062706272,0.9923,129,1.4829272964223337
0,c3r2,control,1.0,early,incompatible,1,263.4579439252336,0.215,107,0.4820888882609808
1,c3r2,control,1.0,early,incompatible,2,407.10280373831773,0.215,107,0.4820888882609808
2,c3r2,control,1.0,early,incompatible,3,535.7009345794393,0.243,107,0.5154667448293789
3,c3r2,control,1.0,early,incompatible,4,660.1869158878504,0.2804,107,0.558014586077508
4,c3r2,control,1.0,early,incompatible,5,817.6635514018692,0.2991,107,0.5786198842917338
5,c3r2,control,1.0,early,incompatible,6,1092.8971962616822,0.1869,107,0.44708401684017807
6,c3r2,control,1.0,early,incompatible,7,1689.5327102803737,0.1682,107,0.4226207194692029
0,c3r2,control,1.0,medium,compatible,1,215.28301886792454,1.0,159,1.5707963267948966
1,c3r2,control,1.0,medium,compatible,2,242.2012578616352,1.0,159,1.5707963267948966
2,c3r2,control,1.0,medium,compatible,3,269.748427672956,1.0,159,1.5707963267948966
3,c3r2,control,1.0,medium,compatible,4,317.4842767295597,1.0,159,1.5707963267948966
4,c3r2,control,1.0,medium,compatible,5,382.9559748427673,1.0,159,1.5707963267948966
5,c3r2,control,1.0,medium,compatible,6,457.42138364779873,1.0,159,1.5707963267948966
6,c3r2,control,1.0,medium,compatible,7,659.496855345912,0.9937,159,1.4914029373905127
0,c3r2,control,1.0,medium,incompatible,1,253.24532453245328,0.6623,129,0.9506561482446709
1,c3r2,control,1.0,medium,incompatible,2,379.6589658965897,0.5677,129,0.8532631112915742
2,c3r2,control,1.0,medium,incompatible,3,470.7810781078107,0.5567,129,0.8421763679547071
